用户id,用户,评论日期,评论内容
2313772657,YS-911,Sun Jan 22 20:25:14 +0800 2023,最后按按钮的剧情，看皮肤应该是个巴基斯坦人，在美国人的压迫下选择了中国的声音，按下了按钮，恰恰是对现实反映，越来越多的人不愿意跟着美国的指挥棒了。
5394789670,木辛_谨言慎行版,Sun Jan 22 20:26:13 +0800 2023,给电影界、给西方，上一点小小的中国价值[努力]
2395726084,蘑菇只是个画画人,Sun Jan 22 19:59:00 +0800 2023,好片子，我在点核弹那里哭的有点收不住[泪]
2646574704,北非之北,Sun Jan 22 19:58:32 +0800 2023,所以流浪地球2相当于是前传？
2262959623,安静了吧哈哈,Sun Jan 22 20:19:25 +0800 2023,为啥moss是boss…. 说实在的 有点突然
2209032872,贫尼法号卿妃,Sun Jan 22 20:51:34 +0800 2023,还有那句“现在呢，你觉得公平吗?”
3501757330,秋风怜北辰,Sun Jan 22 21:27:00 +0800 2023,就要上价值就要上价值！流浪地球应该是全世界的浪漫，而如今成为了中国人的浪漫。在浩瀚的宇宙面前，人类不值一提，但是是这样的人类，给了漫长的岁月以文明。
2554638817,Express_,Sun Jan 22 21:22:43 +0800 2023,补充一个细节，韩朵朵的辐射病是有铺垫的，电影提到地球停转之后向阳的一面持续光照让癌症几率提升了不少，韩朵朵就是成千上万被影响到的普通人的缩影
7808015959,Cloud璇,Sun Jan 22 20:13:25 +0800 2023,中国味宏大叙事真特么爽[开学季]
7460105527,宝43029,Sun Jan 22 22:13:11 +0800 2023,电影里一群50+的人主动站出来让年轻人活下去，自己承担起有去无回的任务。现实里一群20+的年轻人在网上肆无忌惮的说老年人应该牺牲
3504063331,pds_时光,Sun Jan 22 21:18:55 +0800 2023,[笑而不语] http://t.cn/A69OHYxt
1874817257,荷庄Jane,Mon Jan 23 03:13:57 +0800 2023,大多数同类题材中，危机时刻都是少数人的逃离，只有中国人，会带着家流浪，极致的理性和极致的浪漫！科幻元素和泪点同样密集！即小说之后，再一次被电影震撼到、感动到、惊艳到！感谢生在这个时代，可以看到小破球、三体、乡村教师……致敬刘慈欣，致敬郭帆，致敬剧中每个角色和饰演者精彩绝伦的呈现！
6360134425,大路2018,Sun Jan 22 19:55:09 +0800 2023,大其心，锐其意。[good]
7561891587,今天解放台湾了么,Sun Jan 22 19:56:17 +0800 2023,我们眼中令人动容的人类命运共同体的故事，它们不懂。
7558027959,肥肠豆腐我爱吃,Sun Jan 22 20:30:36 +0800 2023,遗憾的是地球的目的地是三体人想要逃离的地方[二哈][二哈][二哈]
7465870909,远迈徽钦,Sun Jan 22 20:03:54 +0800 2023,医保大于天！
1944982205,黄老师很辛苦,Sun Jan 22 21:15:33 +0800 2023,我看完之后说的第一句话就是美国人一百年也写不出这种剧本。
1744352141,唔知搞咩,Sun Jan 22 20:28:52 +0800 2023,團結人類是需要代價的，中國願意[泪]
5896064503,CVB41_Midway,Sun Jan 22 23:08:17 +0800 2023,啊，正好是我们这帮90后的老东西出列去坐单程票，不过危难当头我也一样会这么做，因为我相信真正令人类文明崛起的力量，那就是团结的力量
5710296908,长恨词,Sun Jan 22 21:14:17 +0800 2023,让我感慨的是刘培强从月球坐上返回舱的画面，一面是沙溢等人的牺牲，另一面是新生命的延续，牺牲是为了延续，都是为了让人类活下去，给我看哭了
2202065105,#NAME?,Mon Jan 23 08:38:43 +0800 2023,更可笑的是有些人始终视“宏大叙事”为洪水猛兽，可以塑造个人却不能讴歌集体，可以特效拉满却不能升华主题，但凡说多一点都要批判“灌输价值观”，有够双标。个人与自由也许看起来很爽，但众人拾柴火焰高才是动人所在。
7003594463,一直点外卖,Sun Jan 22 19:53:56 +0800 2023,文明能否延续，取决于人类的选择
1749277070,_清香集,Mon Jan 23 05:14:16 +0800 2023,《流浪地球2》拍摄的是普通人的故事。五十岁以上出列这一段太震撼直击内心。流浪系列国片之光。
1446494503,Leon_Caesar,Sun Jan 22 19:53:10 +0800 2023,小破球从未让人失望[苦涩][苦涩]
5758877140,超新星团SuperNova,Mon Jan 23 23:31:36 +0800 2023,非常值得一看的电影
7731746131,世界是物质的一般兵,Sun Jan 22 19:54:21 +0800 2023,加入暴打獭狸班[赢牛奶]
5847471192,飘尘留侯2333,Mon Jan 23 14:20:23 +0800 2023,其实我觉得图恒宇真的是很重要的角色，将整个片子上升到了哲学高度——图谋宇宙的永恒[赞]
2451316241,一如果还有如果的话一,Mon Jan 23 13:36:15 +0800 2023,我最喜欢图恒宇这个人物设定。我不信所谓的无私奉献。什么牺牲小我完成大我那种中国教条式的小说中常出现的英雄形象我共鸣不到。
3127415160,小tiger杨的麻麻,Sun Jan 22 20:00:46 +0800 2023,这是我们中国的价值观
2070943023,网球健身控,Mon Jan 23 22:49:53 +0800 2023,中国人的个人牺牲精神，外国人永远不懂[doge]
3203729022,幸福健康有钱哒哒哒,Sun Jan 22 20:14:47 +0800 2023,中俄的目标是星辰大海！！！！
5625950454,Raymond我就是锐,Sun Jan 22 20:50:42 +0800 2023,人类命运共同体，也许本身就暗示了我们即将面对的问题。
6789848140,叫我大神大人2号,Sun Jan 22 20:15:53 +0800 2023,发球疯: 球是完美的，一切不完美都是我的问题[流浪地球2][流浪地球2][流浪地球2]
1660474832,翕文之书,Sun Jan 22 23:24:42 +0800 2023,这是价值观，是全人类的价值观
1737987872,Eiskakakakakakakakakakaffee,Sun Jan 22 21:00:17 +0800 2023,…破防了，看电影的时候不止一次有个疑问，就是李雪健老师为啥把自己弄得这么瘦……整个爆哭[苦涩]//@言灵Zz:周先生那条线我都是带入总理来看的，而且有一幕特别像《乔的笑》[爱你]
7743742134,DesLebensFruhlingstagen,Sun Jan 22 20:18:42 +0800 2023,满分剧评，但是被剧透完了[失望]
2702922501,一只芋泥咖啡味的茄子,Mon Jan 23 00:54:12 +0800 2023,真的很喜欢小破球2，无论是作为科幻片的特效，还是整体构思，中国能拍出这样的电影真的很了不起。 另外，破球2一直在传达一个观念，地球是共同的家。每个普通人都是做成一件伟大的事情的一个碎片。人类，需要团结，需要牺牲。 ps：“五十岁以上，出列”那个部分，我真的一度哭到感觉隐形都要划片了。
5585778829,何故与鬼语,Sun Jan 22 20:41:01 +0800 2023,唯一的遗憾就是片子该分上下两集各150分钟，现在这样太赶，情节推进太快了，情感的进入和抽离太快，应接不暇
1898261665,sorairobird,Sun Jan 22 20:32:58 +0800 2023,奥巴马以后，美国真不行了。奥巴马的上台，就是zzzq
1968878440,小小灰衣公子,Sun Jan 22 20:43:26 +0800 2023,周先生好像我们的爱戴的总理。[悲伤]
2236618151,Milanbart12,Mon Jan 23 00:07:35 +0800 2023,人类命运共同体的生动诠释！中国科幻电影的天花板！
2885989065,让我快去复习,Sun Jan 22 20:43:47 +0800 2023,这一部真的能在我的心中超越大多数近年来的好莱坞科幻大片
2504960597,月又西西-,Mon Jan 23 00:52:18 +0800 2023,[作揖]因为我们对这片土地爱得深沉
6387099252,夏日午后阳光下,Sun Jan 22 21:12:16 +0800 2023,这就是我们的大国情怀！从来不是蝇营狗苟、偏居一隅，而是责任担当、胸怀天下！[赞][赞][赞]
1766427044,一挑三的月亮好大像个饼,Sun Jan 22 20:09:42 +0800 2023,妻子癌症有提到因为太阳辐射增强，许多人都换上了癌症
7757445908,BitterButSweetButSweetheart,Sun Jan 22 20:05:01 +0800 2023,用圣经来比喻，你坦正在建造一座代表自由意志、团结所有人类的neo Babylon Tower
1690614980,颢OEOI,Sun Jan 22 20:58:38 +0800 2023,独立日和星河战队那里太同意了，现在的西方没那种自信了
2407008157,唐吉诃德遇到了一群猪,Tue Jan 24 09:45:48 +0800 2023,浪球2是很优秀，但是叙事线索有点不分主次，难免冗长
2818167020,cxl-1996,Mon Jan 23 10:29:22 +0800 2023,老婆吐槽我说：你一个月都不见得发一条朋友圈的人，居然连续发了三条流浪地球2的朋友圈[doge]数量仅次于和她有关的朋友圈
2271771965,-Wxxxxx-,Mon Jan 23 00:47:31 +0800 2023,电影里，不同国家，不同肤色的人团结在一起，真的觉得人类在太阳系能有更大的作为，但稍微想想，也许这就是人类的诅咒。
5053527654,转角处守候4,Sun Jan 22 20:35:51 +0800 2023,50岁以上的出列，这是中国人才有的主动
7635859481,小兔叽尾巴长,Sun Jan 22 20:26:08 +0800 2023,这是只有中国人独有的科幻片
1955268147,二马马老爷,Sun Jan 22 20:22:40 +0800 2023,现在，仰望星空的，是我们！
1796741681,亦此宁和,Mon Jan 23 23:46:22 +0800 2023,看到出列的那里泪目了，毫不怀疑中国军队就是会在这种关头第一个站出来。
1410475113,一边享受一边泪流,Mon Jan 23 23:43:30 +0800 2023,很多年前，看完《星际穿越》在微博上感叹，什么时候我们也能拍出这种震撼人心的有深度的电影，直到今天看了《流浪地球2》。是的，我的评价很高，有点儿烧脑但脉络清晰逻辑合理，三个小时一瞬而过，致敬！
2958841347,玉儿的逆鳞,Mon Jan 23 01:12:51 +0800 2023,讲的超级超级好
1571725734,十安_9,Sun Jan 29 11:14:59 +0800 2023,周先生坚定的说点火[泪][泪][泪]
1651941013,恍惚的猫,Wed Jan 25 00:46:02 +0800 2023,春节假期完了就去二刷#流浪地球2（2023）[电影]#，首映看的杜比厅，二刷我去看imax。毕竟那么多细节，那么大的诚意拍出来的电影如果都做不了票房冠军，我还怎么期待『流浪地球3』？怎么期待中国电影工业加速腾飞？拒绝资本用劣币驱逐良币从我做起[加油]
1427626355,雨眸,Tue Jan 24 21:56:42 +0800 2023,"而且,细节太多了,很多一闪而过的细节都很值得再回味."
5094399813,师父的微博2022,Mon Jan 23 21:55:11 +0800 2023,人类命运共同体，格局打开了[good][good][good]//@莫兰蒂的落:用普通人的故事续写宏大叙事，讲述文明传承的史诗。
1294638897,逸轩冬雪,Mon Jan 23 15:17:05 +0800 2023,今天看完回来才来看你的剧透[赞]
5963356948,Ich_selbst,Mon Jan 23 13:38:03 +0800 2023,“等你不用望远镜就能看到木星的时候，是流浪地球1，爸爸要去炸木星。”
5907994713,百香双响炮po,Mon Jan 23 13:09:53 +0800 2023,再见了，我的蓝，我的爱。等我看完电影再来认真看影评。
1745040351,肉老弟,Mon Jan 23 11:36:36 +0800 2023,看到后面人类各种牺牲的时候，嘴唇都快咬破了[泪]
3280646700,颐和畅轻,Sun Jan 22 23:03:25 +0800 2023,是不是应该全副武装的去电影院呢[挖鼻]
3195592040,fyjs地摊上的马甲,Sun Jan 22 23:00:48 +0800 2023,普世价值是为全人类的未来做计划，只有历经数千年连绵不断的文明才会有这个胸怀和尺度，西方人不懂的。。。
7328952922,红尘俗世云飞扬,Sun Jan 22 21:29:25 +0800 2023,@小鱼儿妈妈咿呀 这个也不错
5096217966,和风和月长少年8287,Sun Jan 22 20:45:57 +0800 2023,[苦涩][苦涩][苦涩]
2951387913,超级LuBoss,Sun Jan 22 20:45:55 +0800 2023,我明儿去看[哇]
7360042507,碧海潮生ing,Sun Jan 22 20:35:57 +0800 2023,由想看变成了必看，吃下安利[ok]
2728197815,小粉丝逆袭大偶像,Sun Jan 22 20:32:36 +0800 2023,真的是大神看完一遍就把故事叙述的这么完整到位，佩服。 我也刚看完，就记住了几个主要人物的故事情节。
2710598277,seagulllobe,Sun Jan 22 20:29:17 +0800 2023,人类神奇来 众生皆丑陋 但又能在丑陋的 绽放出花来
7759191147,内有风雷万千国,Sun Jan 22 20:26:19 +0800 2023,转发微博
2677132190,禽萝_,Sun Jan 22 20:09:13 +0800 2023,真的好好看[苦涩][苦涩][苦涩]结局哭死我了
6911985215,江山美人在此,Sun Jan 22 20:01:57 +0800 2023,感觉不错
6601168355,辜月藏地枪鸣-,Mon Jan 23 22:25:45 +0800 2023,“五十岁以上出列！”“保存人类文明最好的办法就是毁灭人类。” 全片印象最深的两处 祝流浪地球越来越好 祝中国电影越来越强大 祝我们的人类命运共同体 终有一日 不是一句空语。
6066159688,苍茫南顾,Mon Jan 23 01:34:40 +0800 2023,中华文明的延续靠的不是个人英雄主义，靠的就是团结
7585959718,老龚de小仙女,Tue Jan 24 01:03:45 +0800 2023,说到普通人，我其实对最后那个按那个按钮的外国人印象很深刻，就没见过这个人，就是可能发射中心普普通通的技术员或者工作人员，甚至安保，我现在都不记得人穿什么，但是那个按钮就是他按下的，他因为我国外交官的行为在那个时刻选择按下，我真的[泪][泪][泪]
3203729022,幸福健康有钱哒哒哒,Sun Jan 22 20:29:55 +0800 2023,今天真的值得我早上8.00起来，为了赶第一场！哈哈哈[心][心][心]中俄cp真的我哭死！！！
1933561210,邢小远远远,Sat Jan 28 12:33:52 +0800 2023,转发微博
6813352296,开心碎觉啦,Wed Jan 25 13:41:48 +0800 2023,极致的浪漫，流浪地球牛逼，希望赚很多钱，接着拍流3[哇]
1400556751,真的jia的,Wed Jan 25 11:07:02 +0800 2023,包包，永远可以信任[good]
5339303897,HuangXinHHXX,Wed Jan 25 00:02:09 +0800 2023,“我们的人，一定会完成任务。”[泪][泪][泪]
3311616031,甫子米,Tue Jan 24 23:33:39 +0800 2023,这部电影真的是一座里程碑
5763752425,猜猜木麻的小媳妇,Mon Jan 23 23:42:32 +0800 2023,期待流浪地球第三部[爱你][爱你][鲜花][鲜花][心][心]
1922506183,影剧三村,Mon Jan 23 16:37:30 +0800 2023,转发微博
3432982924,zhukoViper,Mon Jan 23 13:16:05 +0800 2023,转发微博
1082274094,智及三寸,Mon Jan 23 10:22:40 +0800 2023,盎撒的精神层面缺陷。
3831455540,wingszht,Mon Jan 23 05:32:11 +0800 2023,[good][good][good][打call][打call][打call]
2895160857,雪莉的发夹,Mon Jan 23 04:14:33 +0800 2023,[苦涩]嗯
1400287950,华衮之赠,Mon Jan 23 01:08:03 +0800 2023,包妹这输出 厉害了
7355902480,快乐的大白YC,Mon Jan 23 00:30:17 +0800 2023,转发微博
7091958996,此时正恰提灯映山河,Sun Jan 22 23:53:14 +0800 2023,薄纱个人英雄主义电影[太开心]
5698141019,Unbelievable竟没钱开会员儿,Sun Jan 22 23:27:48 +0800 2023,这是一部结局前走的人比看的人还多的电影[允悲]看了差不多一小时左右，满座的厅走了一半多人，不看解析真看不懂，一秒没看剧情就令人一脸懵逼了
7732909054,无面人魔药消化中,Sun Jan 22 22:53:33 +0800 2023,全片都在讲“人类命运共同体”啊[打call]
1817155304,与晚睡作战的无事忙,Sun Jan 22 22:40:45 +0800 2023,因为西方权贵管你耗材干嘛，他们自己能苟住就行。
1868513102,O_O-long,Sun Jan 22 22:24:07 +0800 2023,[苦涩]太好看了
5677001734,云与鸟,Sun Jan 22 22:22:07 +0800 2023,行，明天去电影院多拿点纸[允悲][允悲]
5770829766,天然呆阿一_RE,Sun Jan 22 21:57:56 +0800 2023,[泪][泪][泪]
2854898132,拐外婆的小红帽,Sun Jan 22 21:45:04 +0800 2023,[嘻嘻][嘻嘻][嘻嘻]总结的很到位，据说剧透太多。
1759729343,蒙面的咖啡猫,Sun Jan 22 21:37:09 +0800 2023,中国人民解放军航天员大队，50岁以上出列，…泪目
2603823727,幻刺大人,Sun Jan 22 21:24:57 +0800 2023,好多次泪目，小破球真好看[抱一抱][抱一抱]
2360940885,釉子在郑州,Sun Jan 22 21:17:59 +0800 2023,说的真好！
1706810492,泰坦陨落到底好玩呀,Sun Jan 22 21:13:14 +0800 2023,08年以后的好莱坞电影真是越来越差，其曾经领先全球的特效也越来越差。
1777965175,素素杉,Sun Jan 22 20:48:10 +0800 2023,[心]我决定再去看一次[心]
6576452139,那年是客遇隆中,Sun Jan 22 20:38:01 +0800 2023,这段文字包老师自己写的？感觉很有点评的功底呀。[赞]
5927641644,禅猫兄弟,Sun Jan 22 20:27:23 +0800 2023,直插心脏……你我没有…[泪]
5653531202,自惭形秽的生活,Sun Jan 22 20:26:11 +0800 2023,我看过了，非常好看
7601464207,小尧尧222,Sun Jan 22 20:25:55 +0800 2023,写的真好�
7635859481,小兔叽尾巴长,Sun Jan 22 20:25:29 +0800 2023,真的好看
5367403249,叫我CBC就好,Sun Jan 22 20:24:26 +0800 2023,独立日是F16吧？[允悲]
1980918753,冷场帝阿呆,Sun Jan 22 20:23:54 +0800 2023,好电影，中国造。
2939890793,an乄exu,Sun Jan 22 20:13:41 +0800 2023,看起来很不错啊[思考]
7439961920,李團長本人,Sun Jan 22 20:12:14 +0800 2023,国际主义集体主义精神！
5913528266,主干道上不让停驴,Sun Jan 22 20:08:25 +0800 2023,幸亏带了两包纸巾[允悲]真的哭傻了…
7111695032,猪蛋大人,Sun Jan 22 20:01:49 +0800 2023,巴别塔
1798007217,年年有哎呦,Sun Jan 22 19:58:23 +0800 2023,很好看[泪][泪]
1930940777,星野大魔王,Sun Jan 22 19:57:29 +0800 2023,准备二刷
3224026065,R·Daneel·Olivaw,Sun Jan 22 19:57:28 +0800 2023,看包姐影评又想哭了[失望]
6716563789,你猜小蓝怎么说,Sun Jan 22 19:55:56 +0800 2023,小破球2真的是一部足以让全人类都能产生共鸣的电影
6896011705,九指神丐花满楼,Sun Jan 22 19:55:45 +0800 2023,[悲伤]说的太好了
6320411757,随风之淡影,Sun Jan 22 19:53:49 +0800 2023,另外，包姐，关于周老先生原声那句点火，我感觉是不是击石啊，但是字幕给成点火更容易明白直接。不过击石的话感觉更能呼应第二部点火需要到火石这个点，不知道我这个解读对不对[允悲][允悲]
2160234830,PKP扫射狂魔,Sun Jan 22 19:53:40 +0800 2023,先收藏了，九点半的场，看完再看看包姐又说啥了
1767567135,小聂魔君,Sun Jan 22 19:53:36 +0800 2023,没人去看无名吗
7795433293,赛里斯的502,Sun Jan 22 19:53:34 +0800 2023,两个字，格局。两个字，好看！
5675646742,YC家族·三叶草,Sun Jan 22 19:53:15 +0800 2023,[抱一抱]
5671846766,福小狮Fxs,Sun Jan 22 19:53:06 +0800 2023,是的
7412105992,昭青玄亮真,Tue Jan 24 22:20:53 +0800 2023,看到有人说，这部电影的主要内容和内涵就是天安门城楼上那两句话，是我们共同的理想啊[可怜]
1498309537,罗毅峰,Mon Jan 23 21:22:37 +0800 2023,刚看完，确实拍的比流浪地球第一部还要好。
2201145140,YAN旭不靠谱,Mon Jan 23 20:25:34 +0800 2023,流浪地球2 三小时的观影完全不觉得疲劳 很惊艳，不仅是视觉上更是故事讲述上的惊艳 看完之后的体会也很简单：人民就是江山，江山就是人民
3919008110,我有两只猫咪深喵和勋喵,Sun Jan 22 21:30:47 +0800 2023,出来电影院看到阳光一下就被戳到了 感觉好不真实我仿佛已经陷入那个世界 
1848415784,Callme栗子呐,Mon Jan 30 10:45:22 +0800 2023,@芒果味健力宝
1840913972,C-Jiaz,Sun Jan 29 10:51:24 +0800 2023,“中国航天飞行员中队，五十岁以上的，出列！”——中国式的科幻片，是一种人类命运共同体，是一种集体主义式牺牲守护希望、火种的悲壮，这很中国。
2649600515,菜菜的快门,Sun Jan 29 09:40:31 +0800 2023,从太空电梯那段看网络入侵不就是550A的杰作居然还会配合数字派里应外合来毁掉太空电梯，还有许多监控的镜头等等。。说白了AI最开始创造的人肯定是数字派，所写的底层代码就是毁灭人类，说实话有AI也不是件好事
1666223871,加特林小土豆,Fri Jan 27 23:50:17 +0800 2023,写得太好了[苦涩][苦涩][苦涩]
2712842252,磊叔商业思维,Fri Jan 27 18:45:46 +0800 2023,一个老同志志愿赴死，为啥要逼着所有中国老同志跟他一起去赴死呢？每个人对生活都有自己的考量！选自愿原则时可以自愿去，自愿选不出来再抽签，你可以代表你自己主动去，何必去绑架一堆人呢，你知道别人有没有牵挂呢？
2387995433,太空美术家刘蔚,Fri Jan 27 11:52:15 +0800 2023,[good][good][good][鞭炮声声][鞭炮声声][鞭炮声声][干杯][干杯][干杯][赞][赞][赞][赞啊][赞啊][赞啊][给力][给力][给力][浪][浪][浪][浪][浪][浪][浪][浪][浪]
7492400866,戴沐恩呀,Fri Jan 27 10:33:05 +0800 2023,看完电影明白了马原的唯物史观，人民创造历史，而不是英雄创造历史[泪][泪][泪]
5427462424,玉宝好运连连,Fri Jan 27 01:42:52 +0800 2023,危难面前，唯有责任[泪]
5955359956,喝凉水都长肉的非吃货胖子,Thu Jan 26 20:33:35 +0800 2023,我哭了一半的时间，纸巾湿了一张又一张[允悲]
1765686172,爱吃的良良,Thu Jan 26 00:37:47 +0800 2023,转发包含剧透，没看过片子准备去看的先不要点进来。
5314420897,Nyx1es,Wed Jan 25 23:39:33 +0800 2023,看完了，制作上的优质水准无需多言，故事的格局和立意也都相当高，各种角度都配得上“大片”两个字。
1861898903,笑装太后,Wed Jan 25 21:03:55 +0800 2023,看完知道中华文明可以传承下来是有原因的，文明可以被个体消灭，但是文明的传承必须要群体的团结[笑cry]这是几百年历史的价值观所理解不了的
2591374760,Luminarysingle,Wed Jan 25 20:06:25 +0800 2023,@人间体验家
5077726812,咩咩头上要长草,Wed Jan 25 14:22:09 +0800 2023,还没看电影的人看到这篇影评眼眶都湿润了 马一下
3996081607,HELEN和YOYO,Tue Jan 24 21:26:53 +0800 2023,感谢我们仍然有宏大叙事的能力，有团结一致的决心，在这个不断保守、收缩、割裂的时代，我们仍然坚信着人类命运共同体[苦涩]
2406035512,一碗弃疗汤,Tue Jan 24 17:26:56 +0800 2023,流浪地球2最妙的一点就是，戏里的角色都有着作为人类的一己私利，刘培强为了自己的妻儿，图恒宇为了自己的女儿，马主任因为自己的怜悯之心让图留下了女儿最后的意识做成了ai……但正由于他们这些一己私利做出的选择，最后影响到了全人类的进程。
1955683374,尘离Katana,Tue Jan 24 16:11:42 +0800 2023,00后好样的[喵喵]
5131572327,枇杷橙子酱,Tue Jan 24 07:48:59 +0800 2023,看哭了
3838976941,御城君,Tue Jan 24 06:32:50 +0800 2023,我觉得周相信能成功，因为moss，并不是盲目的自信
2250391081,七号宝藏银河,Tue Jan 24 02:14:48 +0800 2023,写得好！西方就是希望各个击破，生怕人类团结推翻犹太统治阶层的。
1229641152,郭帆FrantGwo,Tue Jan 24 01:39:45 +0800 2023,感谢您的支持[流浪地球2][流浪地球2][流浪地球2]
2636261415,格尔木疗养院的小天真,Mon Jan 23 23:38:39 +0800 2023,“中国航天飞行员中队，五十岁以上的，出列！”看这里时候眼泪简直不要钱的掉[泪][泪][泪]
6384949008,遇上方知有yyyyzw,Mon Jan 23 21:07:52 +0800 2023,[流浪地球2]
5458209640,芃芃祁祁酱,Mon Jan 23 17:27:35 +0800 2023,我总不能告诉别人，我偷偷摸了几次眼泪吧
2761801752,半梦-半醒,Mon Jan 23 12:47:20 +0800 2023,醒来还是很感动#流浪地球2#  冲鸭[打call] 郭导不要睡啦，#流浪地球3# 快点上映 #流浪地球# 
5347326272,一只偷懒的蜗牛,Mon Jan 23 11:43:21 +0800 2023,解密多国核弹密码，争分夺秒却无可奈何那里，周先生一句人类啥都用在……上（没记住），很现实讽刺
